,batch_size,num_nodes,memory_size
0,64,1,1024
1,64,1,1024
2,64,1,1024
3,64,1,1024
4,64,1,1024
5,64,1,2048
6,64,1,2048
7,64,1,2048
8,64,1,2048
9,64,1,2048
10,64,3,1024
11,64,3,1024
12,64,3,1024
13,64,3,1024
14,64,3,1024
15,64,3,2048
16,64,3,2048
17,64,3,2048
18,64,3,2048
19,64,3,2048
20,256,1,1024
21,256,1,1024
22,256,1,1024
23,256,1,1024
24,256,1,1024
25,256,1,2048
26,256,1,2048
27,256,1,2048
28,256,1,2048
29,256,1,2048
30,256,3,1024
31,256,3,1024
32,256,3,1024
33,256,3,1024
34,256,3,1024
35,256,3,2048
36,256,3,2048
37,256,3,2048
38,256,3,2048
39,256,3,2048
40,1024,1,1024
41,1024,1,1024
42,1024,1,1024
43,1024,1,1024
44,1024,1,1024
45,1024,1,2048
46,1024,1,2048
47,1024,1,2048
48,1024,1,2048
49,1024,1,2048
50,1024,3,1024
51,1024,3,1024
52,1024,3,1024
53,1024,3,1024
54,1024,3,1024
55,1024,3,2048
56,1024,3,2048
57,1024,3,2048
58,1024,3,2048
59,1024,3,2048
60,64,2,1536
61,64,2,1536
62,64,2,1536
63,64,2,1536
64,64,2,1536
65,64,4,1536
66,64,4,1536
67,64,4,1536
68,64,4,1536
69,64,4,1536
70,256,2,1536
71,256,2,1536
72,256,2,1536
73,256,2,1536
74,256,2,1536
75,256,4,1536
76,256,4,1536
77,256,4,1536
78,256,4,1536
79,256,4,1536
80,1024,2,1536
81,1024,2,1536
82,1024,2,1536
83,1024,2,1536
84,1024,2,1536
85,1024,4,1536
86,1024,4,1536
87,1024,4,1536
88,1024,4,1536
89,1024,4,1536
90,128,1,1536
91,128,1,1536
92,128,1,1536
93,128,1,1536
94,128,1,1536
95,128,3,1536
96,128,3,1536
97,128,3,1536
98,128,3,1536
99,128,3,1536
100,512,1,1536
101,512,1,1536
102,512,1,1536
103,512,1,1536
104,512,1,1536
105,512,3,1536
106,512,3,1536
107,512,3,1536
108,512,3,1536
109,512,3,1536
110,128,2,1024
111,128,2,1024
112,128,2,1024
113,128,2,1024
114,128,2,1024
115,128,2,2048
116,128,2,2048
117,128,2,2048
118,128,2,2048
119,128,2,2048
120,128,4,1024
121,128,4,1024
122,128,4,1024
123,128,4,1024
124,128,4,1024
125,128,4,2048
126,128,4,2048
127,128,4,2048
128,128,4,2048
129,128,4,2048
130,512,2,1024
131,512,2,1024
132,512,2,1024
133,512,2,1024
134,512,2,1024
135,512,2,2048
136,512,2,2048
137,512,2,2048
138,512,2,2048
139,512,2,2048
140,512,4,1024
141,512,4,1024
142,512,4,1024
143,512,4,1024
144,512,4,1024
145,512,4,2048
146,512,4,2048
147,512,4,2048
148,512,4,2048
149,512,4,2048
